a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,target0,target1,target2
8891588365677.084,-154376058162736.6,2922491221134.6606,-105844502731745.05,-98868402184819.8,269401917317330.78,59899464383193.336,-99250124655237.72,15379443314871.604,74002153648447.47,33828945448258.273,15063940121891.873,170270039297468.7,1.0,0.0,0.0
20756816112063.676,-154376058162736.6,1578296292550.7288,-245155672699198.56,-80459850313587.66,711207162226902.1,136133471717657.98,94128538863802.23,85572799982747.42,46690556690401.35,51397808988521.945,6181733806840.322,119763031473550.14,1.0,0.0,0.0
16366681845900.645,-118732109590371.17,906198828258.7482,-226984650529530.72,20787184978189.094,887929260190730.4,132034869172794.3,-99250124655237.72,96101803482928.78,333462324749886.6,42613377218390.11,20288767366039.85,237711749744701.12,1.0,0.0,0.0
7467761036110.702,-134008087549956.36,22413317685601.652,-69502458392409.37,112829944334349.78,490304539772116.44,72195272017784.44,-85437362975306.28,-9188231518884.938,306150727791840.4,56668468050601.04,14018974673062.277,167299038837238.2,1.0,0.0,0.0
15417463626189.717,-106002127957383.56,23757512614185.586,15295645066040.627,186464151819278.34,446124015281159.06,91048843724157.4,-43999077935511.97,26610380381731.73,155936944522586.22,19773854616047.38,2001872011521.9404,158386037456546.7,1.0,0.0,0.0
9840806585388.012,-195111999388297.06,17036537971265.928,15295645066040.627,140442772141197.98,578665588754030.8,112361576957448.58,52690253824008.0,9062041214762.775,210560138438678.6,30315172740205.543,-2177989783796.442,113821030553089.14,1.0,0.0,0.0
14112288574087.178,-190020006735102.0,7627173471178.406,-90701984257021.84,76012840591885.5,887929260190730.4,155806763933003.72,-57811839615443.41,18889111148265.4,497331906498163.9,47884036280469.21,10884078326573.49,277226055865766.8,1.0,0.0,0.0
7586413313574.565,194425438581124.9,13003953185514.133,-130072532291302.2,149647048076814.06,357762966299245.1,82031918125457.27,-265003264814414.75,4850439814690.222,5723161253331.92,448104721757.34595,39098145444972.55,29147517436519.805,1.0,0.0,0.0
12569808967056.934,-179836021428711.94,-5814775814660.91,-105844502731745.05,241689807432974.75,622846113244987.8,93508005251075.61,-168313933054894.8,35735516748555.59,80830052887959.12,23287627324100.113,57385040799490.46,9836014445021.537,1.0,0.0,0.0
-837898386359.924,372645181442951.9,19052830364141.81,-27103406663184.316,20787184978189.094,101515924251693.75,31209246569147.535,-154501171374963.38,27312313948410.49,-76211629620806.7,12746309199941.914,47457869035609.31,6865013984791.034,1.0,0.0,0.0
8416979255821.63,-121278105916968.7,-437996100325.1835,-87673480562077.16,11582909042573.025,278238022215522.03,69736110490866.195,-126875648015100.5,6956240514726.498,-171802218973968.5,26801400032152.848,72537039807519.58,85596526180899.36,1.0,0.0,0.0
-1787116606070.852,-187474010408504.47,10315563328346.27,-51331436222741.48,-43642746571123.38,163368658539033.6,27930364533256.58,-140688409695031.94,-9188231518884.938,-154049680951238.4,23287627324100.113,53205179004172.08,79654525260438.36,1.0,0.0,0.0
5925281429080.437,-134008087549956.36,16364440506973.947,15295645066040.627,-34438470635507.316,207549183029990.56,47603656748602.27,-113062886335169.06,4850439814690.222,-210038454715233.2,28558286386179.215,63132350768053.22,29147517436519.805,1.0,0.0,0.0
585928943206.4788,-72904175711615.72,57362385828783.84,166720829813272.72,223281255561742.6,295910232011904.9,53341700311411.46,149379585583527.9,23100712548337.934,-201844975627819.3,30315172740205.543,30738421854335.805,24691016746174.05,1.0,0.0,0.0
4620106376977.918,-144192072856346.47,17036537971265.928,-102815999036800.36,-62051298442355.52,490304539772116.44,74654433544702.62,-30186316255580.53,-9890165085563.697,-35244234183737.39,-6579440694348.102,31783387303165.402,133132533544587.4,1.0,0.0,0.0
3552235879803.1265,-156922054489334.16,-15224140314748.402,-75559465782298.62,-52847022506739.45,92679819353502.11,13175395371747.283,-126875648015100.5,-16909500752351.27,-151318521255433.78,10989422845915.547,8271664704499.514,159871537686661.94,1.0,0.0,0.0
10315415695243.465,-111094120610578.62,29134292328521.28,-2875377103627.268,66808564656269.44,578665588754030.8,77113595071620.86,11251968784213.697,11869775481477.81,-76211629620806.7,51397808988521.945,41188076342631.74,49944520658133.33,1.0,0.0,0.0
12095199857201.459,-167106039795724.28,-10519458064704.656,-105844502731745.05,-34438470635507.316,313582441808287.75,24651482497365.625,-140688409695031.94,27312313948410.49,-48900032662760.45,14503195553968.28,51115248106512.88,85596526180899.36,1.0,0.0,0.0
8654283810749.357,-212933973674479.78,22413317685601.652,91008237439656.67,11582909042573.025,622846113244987.8,100065769322857.52,-99250124655237.72,55389656615560.805,87657952127470.66,40856490864363.74,5136768358010.727,159871537686661.94,1.0,0.0,0.0
6874499648791.364,-172198032448919.34,-437996100325.1835,-11960888188461.107,57604288720653.37,499140644670307.7,95147446269021.08,-195939456414757.66,25206513248374.21,251527533875748.03,23287627324100.113,14018974673062.277,228204548271963.5,1.0,0.0,0.0
8061022423430.019,-128916094896761.3,-437996100325.1835,-69502458392409.37,39195736849421.234,110352029149884.98,54161420820384.18,80315777183870.8,26610380381731.73,-166339899582359.25,47884036280469.21,13496491948647.492,72227024109862.1,1.0,0.0,0.0
9010240643140.947,-205295984694687.2,22413317685601.652,153126591317.41702,296915463046671.1,578665588754030.8,58260023365247.89,190817870623322.22,-16909500752351.27,46690556690401.35,51397808988521.945,20288767366039.85,145016535385509.44,1.0,0.0,0.0
6043933706544.3,-136554083876553.89,19052830364141.81,-14989391883405.793,94421392463117.64,48499294862545.14,41045892676820.36,-99250124655237.72,-3572762985454.8677,-117179025057876.0,25044513678126.48,13496491948647.492,103422528942282.38,1.0,0.0,0.0
5687976874152.709,-134008087549956.36,2922491221134.6606,30438163540763.836,2378633106956.957,357762966299245.1,77933315580593.58,-140688409695031.94,18889111148265.4,5723161253331.92,14503195553968.28,44845455413535.336,51430020888248.58,1.0,0.0,0.0
3314931324875.3784,-177290025102114.4,31822682185689.145,-120987021206468.27,94421392463117.64,269401917317330.78,53341700311411.46,-30186316255580.53,-16207567185672.51,-62555831141783.63,23287627324100.113,8794147428914.3,39546019047326.57,1.0,0.0,0.0
585928943206.4788,-174744028775516.88,12331855721222.152,-45274428832852.21,-16029918764275.18,136860343844459.48,32848687587093.01,-99250124655237.72,-10592098652242.455,-110351125818364.47,28558286386179.215,-5312886130285.229,106393529402512.89,1.0,0.0,0.0
823233498134.2054,-212933973674479.78,-17912530171916.266,-120987021206468.27,-16029918764275.18,92679819353502.11,50062818275520.51,-113062886335169.06,-15505633618993.752,-185458017452991.56,39099604510337.375,4091802909181.1313,81140025490553.61,1.0,0.0,0.0
14468245406478.79,421019111648305.06,9643465864054.29,-190642606190195.03,260098359304206.88,622846113244987.8,82851638634430.02,-223564979774620.47,34331649615198.074,5723161253331.92,-11850099756427.201,47980351760024.1,3894013524560.5312,1.0,0.0,0.0
6637195093863.638,-159468050815931.7,-3798483421784.9976,-99787495341855.78,158851324012430.12,755387686717859.0,103344651358748.47,-30186316255580.53,52581922348845.77,146377885587270.0,-1308781632269.0208,40143110893802.14,14292515135367.291,1.0,0.0,0.0
4857410931905.645,382829166749342.0,-16568335243332.334,-21046399273295.055,-89664126249203.73,136860343844459.48,53341700311411.46,-126875648015100.5,-7784364385527.421,-106254386274657.52,-8336327048374.468,20288767366039.85,85596526180899.36,1.0,0.0,0.0
10434067972707.35,-113640116937176.16,15020245578390.016,-136129539681191.47,11582909042573.025,843748735699773.4,125477105101012.39,-265003264814414.75,7658174081405.257,50787296234108.195,-13606986110453.568,49547799933268.5,103422528942282.38,1.0,0.0,0.0
2840322215019.925,418473115321707.44,-5142678350368.93,-60416947307575.42,29991460913805.164,304746336910096.5,49243097766547.75,-57811839615443.41,4850439814690.222,-95329747491439.02,-24148304234611.77,20288767366039.85,-19873990157283.492,1.0,0.0,0.0
585928943206.4788,-144192072856346.47,-17912530171916.266,-75559465782298.62,66808564656269.44,622846113244987.8,79572756598539.06,-113062886335169.06,30821981781804.266,-2470317834081.8936,-13606986110453.568,38575662720557.76,41031519277441.82,1.0,0.0,0.0
14349593129014.926,433749093281292.6,4938783614010.543,-18017895578350.477,103625668398733.72,490304539772116.44,50882538784493.23,-85437362975306.28,-23928836419138.855,24841279123964.35,-15363872464479.936,37530697271728.164,98966028251936.62,1.0,0.0,0.0
16366681845900.645,319179258584403.8,-5814775814660.91,-105844502731745.05,20787184978189.094,843748735699773.4,93508005251075.61,-126875648015100.5,42052918848664.41,-21588435704714.207,14503195553968.28,43278007240290.93,94509527561590.88,1.0,0.0,0.0
10671372527635.076,-167106039795724.28,-16568335243332.334,-105844502731745.05,11582909042573.025,711207162226902.1,111541856448475.86,-209752218094689.1,38543251015270.625,142281146043563.03,-8336327048374.468,37530697271728.164,70741523879746.84,1.0,0.0,0.0
13044418076912.387,-80542164691408.25,2250393756842.6797,-21046399273295.055,29991460913805.164,401943490790202.1,73014992526757.16,-57811839615443.41,55389656615560.805,155936944522586.22,19773854616047.38,7226699255669.918,93024027331475.62,1.0,0.0,0.0
11145981637490.53,-154376058162736.6,-6486873278952.86,-63445451002520.11,76012840591885.5,516812854466690.56,123837664083066.92,-57811839615443.41,34331649615198.074,524643503456210.25,28558286386179.215,25513594610187.83,152444036536085.7,1.0,0.0,0.0
585928943206.4788,-154376058162736.6,-21945114957668.06,-214870635749752.16,-71255574377971.6,375435176095628.0,101705210340802.98,-265003264814414.75,92592135649535.02,292494929312817.3,28558286386179.215,15586422846306.682,119763031473550.14,1.0,0.0,0.0
9840806585388.012,-174744028775516.88,15692343042681.996,-69502458392409.37,-52847022506739.45,136860343844459.48,78753036089566.34,-195939456414757.66,49072254515451.99,74002153648447.47,49640922634495.58,39620628169387.36,153929536766200.94,1.0,0.0,0.0
9722154307924.148,-149284065509541.53,3594588685426.6113,-166414576630637.88,103625668398733.72,1400423344285833.0,140232074262521.69,-57811839615443.41,19591044714944.156,272011231594282.62,9232536491889.18,33873318200824.57,131647033314472.16,1.0,0.0,0.0
9128892920604.81,-111094120610578.62,21069122757017.723,-72530962087353.95,140442772141197.98,622846113244987.8,62358625910111.57,38877492144076.57,6254306948047.739,169592743001609.28,30315172740205.543,16631388295136.277,186610541828736.47,1.0,0.0,0.0
8772936088213.221,-169652036122321.8,-7831068207536.792,-93730487951966.53,168055599948046.2,269401917317330.78,71375551508811.67,-209752218094689.1,2042705547975.2026,108141649846005.25,-6579440694348.102,30738421854335.805,93024027331475.62,1.0,0.0,0.0
6637195093863.638,-154376058162736.6,6282978542594.475,30438163540763.836,149647048076814.06,587501693652222.0,61538905401138.81,-223564979774620.47,60303191582312.13,162764843762097.75,3961877429810.0796,21856215539284.234,110850030092858.64,1.0,0.0,0.0
14468245406478.79,-162014047142529.22,-4470580886076.979,-96758991646911.11,168055599948046.2,799568211208816.4,79572756598539.06,-140688409695031.94,30821981781804.266,180517381784827.78,-3065667986295.3877,36485731822898.57,66285023189401.09,1.0,0.0,0.0
3433583602339.2417,-93272146324395.9,21069122757017.723,-81616473172187.89,20787184978189.094,622846113244987.8,98426328304912.03,-71624601295374.84,4850439814690.222,128625347564539.97,19773854616047.38,11929043775403.086,155415036996316.2,1.0,0.0,0.0
8535631533285.493,-230755947960662.5,8971368399762.338,-84644976867132.58,76012840591885.5,976290309172644.8,134494030699712.5,-237377741454551.9,31523915348483.04,237871735396724.84,-11850099756427.201,13496491948647.492,159871537686661.94,1.0,0.0,0.0
-7482425924336.421,-355509767963941.44,-67647742529521.69,-269383702258755.72,-108072678120435.86,-278436586370537.72,-119619327081836.28,-113062886335169.06,-82189322453475.8,-424434490835896.0,16260081907994.646,-41364194114906.23,-67409997520971.54,0.0,1.0,0.0
-7957035034191.874,-314773826738380.94,-5814775814660.91,-105844502731745.05,11582909042573.025,-216583852083197.88,-76993860615253.88,370383772462430.7,-82891256020154.55,-244177950912790.97,51397808988521.945,-49201434981128.195,-19873990157283.492,0.0,1.0,0.0
-4278814432812.025,-248577922246845.16,-23289309886251.992,-81616473172187.89,2378633106956.957,-243092166777771.97,-50762804328126.28,232256155663116.5,-68150651119900.625,94485851366982.19,3961877429810.0796,-53381296776446.56,-88207000742585.06,0.0,1.0,0.0
7942370145966.155,-276583881839418.0,-30010284529171.65,-45274428832852.21,-52847022506739.45,-172403327592240.5,-19613424987162.227,-57811839615443.41,-60429381886434.28,-171802218973968.5,47884036280469.21,-7925299752359.206,-34728992458436.008,0.0,1.0,0.0
-7482425924336.421,-307135837758588.4,-13879945386164.47,-14989391883405.793,-117276954056051.94,1064651358154559.0,87769961688266.45,-237377741454551.9,19591044714944.156,-83039528860318.23,46127149926442.84,13496491948647.492,-97120002123276.58,0.0,1.0,0.0
-9855471473613.73,-225663955307467.44,10987660792638.22,-14989391883405.793,39195736849421.234,-357961530454260.6,-22892307023053.184,121754062223665.11,-39371374886071.53,-287876506045664.9,86535536069049.23,-19942402413899.543,-116431505114774.84,0.0,1.0,0.0
-7482425924336.421,-286767867145808.1,13003953185514.133,-42245925137907.52,-16029918764275.18,110352029149884.98,50882538784493.23,11251968784213.697,34331649615198.074,-62555831141783.63,40856490864363.74,-16285023342995.97,-20468190249329.594,0.0,1.0,0.0
1297842607989.659,-337687793677758.7,-44796428743594.88,-136129539681191.47,-200115437476596.56,605173903448604.9,94327725760048.36,-140688409695031.94,48370320948773.22,33034758211378.168,28558286386179.215,29693456405506.21,-72757798349386.45,0.0,1.0,0.0
-7482425924336.421,-296951852452198.25,-30010284529171.65,3181630286262.102,-200115437476596.56,-163567222694049.28,-2399294298734.7334,-126875648015100.5,-38669441319392.77,-51631192358565.14,28558286386179.215,45367938137950.125,-70380997981202.05,0.0,1.0,0.0
4026844989658.58,-355509767963941.44,-437996100325.1835,-75559465782298.62,94421392463117.64,207549183029990.56,-59779729926826.39,259881679022979.38,-82189322453475.8,-257833749391814.1,10989422845915.547,-35616884146343.47,923013064330.0281,0.0,1.0,0.0
-9380862363758.256,-291859859799003.2,-41435941422135.055,-81616473172187.89,471796705823376.44,-393305950047026.1,-61419170944771.87,-306441549854209.0,63812859415705.914,-301532304524688.0,56668468050601.04,23946146436943.426,-8584188408407.582,0.0,1.0,0.0
-8431644144047.349,-184928014081906.94,-10519458064704.656,27409659845819.152,29991460913805.164,-1056013817411383.1,-82731904178063.05,11251968784213.697,-9188231518884.938,-274220707566641.84,-9039081589985.016,-41364194114906.23,36575018587096.06,0.0,1.0,0.0
10196763417779.602,-210387977347882.25,20397025292725.742,166720829813272.72,-126481229991668.0,578665588754030.8,68096669472920.72,-209752218094689.1,19591044714944.156,-229156572585865.56,70723558882811.98,28648490956676.617,-100091002583507.08,0.0,1.0,0.0
5806629151616.572,-172198032448919.34,-8503165671828.743,136435792863826.3,-117276954056051.94,-366797635352452.06,-15514822442298.535,-126875648015100.5,-39371374886071.53,-179995698061382.3,3961877429810.0796,8794147428914.3,-81670799730077.95,0.0,1.0,0.0
-125984721576.72261,-169652036122321.8,15692343042681.996,318146014560504.8,361345394595983.6,887929260190730.4,70555830999838.95,-209752218094689.1,25908446815052.97,-233253312129572.47,61939127112680.14,46412903586779.72,70741523879746.84,0.0,1.0,0.0
-12347169300354.904,-317319823064978.44,-4470580886076.979,45580682015487.05,11582909042573.025,958618099376261.9,9076792826883.607,-320254311534140.44,4148506248011.4634,-252371430000204.84,5718763783836.446,27081042783432.21,41328619323464.87,0.0,1.0,0.0
-15906737624270.889,-116186113263773.69,-30010284529171.65,-105844502731745.05,-25234194699891.25,-605372467603620.4,-37647276184562.46,-30186316255580.53,-30948172085926.445,-171802218973968.5,47884036280469.21,-24644746933632.71,-94743201755092.17,0.0,1.0,0.0
348624388278.7309,-365693753270331.56,-44124331279302.914,-105844502731745.05,-126481229991668.0,-304944901065112.0,59867228183.46433,-168313933054894.8,-9188231518884.938,-62555831141783.63,40856490864363.74,-6880334303529.61,-105438803411921.98,0.0,1.0,0.0
-13770996629921.307,140959515722576.8,-9175263136120.725,-45274428832852.21,112829944334349.78,-508175313723514.8,-58140288908880.914,94128538863802.23,-44986843419501.6,-328843901482734.25,448104721757.34595,-4790403405870.419,-73351998441432.55,0.0,1.0,0.0
-7957035034191.874,-342779786330953.75,-27993992136295.75,-142186547071080.72,333732566789135.44,-349125425556069.2,-14695101933325.795,-16373554575649.174,82063132149353.61,-226425412890060.94,18016968262021.01,-15762540618581.16,923013064330.0281,0.0,1.0,0.0
-3566900768028.8447,390467155729134.7,2250393756842.6797,106150755914379.89,11582909042573.025,472632329975733.56,42685333694765.84,94128538863802.23,25206513248374.21,-339768540265952.75,40856490864363.74,27081042783432.21,-84344700144285.4,0.0,1.0,0.0
-11872560190499.45,-360601760617136.5,-24633504814835.92,-14989391883405.793,-126481229991668.0,110352029149884.98,18913438934556.438,-85437362975306.28,-11294032218921.215,-349327599201268.94,74237331590864.67,26558560059017.426,-139308208658549.72,0.0,1.0,0.0
-3329596213101.097,-134008087549956.36,-11191555528996.607,-21046399273295.055,-126481229991668.0,-84042278610326.17,41045892676820.36,-140688409695031.94,12571709048156.568,-158146420494945.38,35585831802284.64,27603525507847.02,-9772588592499.783,0.0,1.0,0.0
-10923341970788.521,-307135837758588.4,9643465864054.29,136435792863826.3,-200115437476596.56,-260764376574154.84,-36827555675589.72,52690253824008.0,-13399832918957.49,-390294994638338.25,61939127112680.14,5659251082425.536,-34728992458436.008,0.0,1.0,0.0
585928943206.4788,387921159402537.06,-3126385957493.047,91008237439656.67,-135685505927284.08,-570028048010854.9,-36007835166616.984,342758249102567.9,2042705547975.2026,-35244234183737.39,-20634531526559.035,-31437022351025.094,-68895497751086.79,0.0,1.0,0.0
-13770996629921.307,-368239749596929.0,14348148114098.064,-45274428832852.21,-52847022506739.45,-84042278610326.17,14814836389692.762,-195939456414757.66,53283855915524.55,-274220707566641.84,-29418963296690.85,24468629161358.234,-67409997520971.54,0.0,1.0,0.0
-3922857600420.435,-345325782657551.3,-8503165671828.743,-45274428832852.21,-6825642828659.111,-84042278610326.17,-7317617352571.166,-85437362975306.28,-9188231518884.938,-332940641026441.2,47884036280469.21,28648490956676.617,-88207000742585.06,0.0,1.0,0.0
-9974123751077.594,-184928014081906.94,-3798483421784.9976,100093748524490.62,-89664126249203.73,-455158684334366.2,-27810630076889.613,94128538863802.23,-2168895852097.35,-356155498440780.44,65452899820732.875,-18374954240655.16,-74837498671547.8,0.0,1.0,0.0
-16025389901734.752,-169652036122321.8,17036537971265.928,197005866762719.16,-108072678120435.86,-331453215759686.3,-34368394148671.508,52690253824008.0,-17611434319030.027,-335671800722245.8,70723558882811.98,31260904578750.594,-54931795588003.43,0.0,1.0,0.0
-16144042179198.615,-70358179385018.125,6282978542594.475,63751704185154.94,-144889781862900.12,-304944901065112.0,-27810630076889.613,163192347263459.34,-16909500752351.27,-308360203764199.6,7475650137862.8125,7226699255669.918,-19873990157283.492,0.0,1.0,0.0
-10923341970788.521,-256215911226637.75,-4470580886076.979,124321778084047.78,-273749644961525.1,-84042278610326.17,-36007835166616.984,80315777183870.8,-14803700052315.008,-453111667641844.56,19773854616047.38,31260904578750.594,-36214492688551.26,0.0,1.0,0.0
-10923341970788.521,-128916094896761.3,-3126385957493.047,-30131910358129.004,-172502609669748.34,-614208572501811.8,-43385319747371.63,218443393983185.06,3446572681332.7046,-362983397680292.06,21530740970073.746,-17852471516240.35,-79293999361893.55,0.0,1.0,0.0
-11872560190499.45,-210387977347882.25,3594588685426.6113,75865718964933.47,-126481229991668.0,-746750145974683.2,-63878332471690.08,190817870623322.22,2744639114653.946,-199113815932014.7,16260081907994.646,2001872011521.9404,-88207000742585.06,0.0,1.0,0.0
-3685553045492.708,-205295984694687.2,-7158970743244.842,36495170930653.1,-181706885605364.4,-808602880262023.4,-46664201783262.586,301319964062773.56,2042705547975.2026,-274220707566641.84,448104721757.34595,-28824608728951.094,-74837498671547.8,0.0,1.0,0.0
-8431644144047.349,125683537762991.62,-9847360600412.676,-45274428832852.21,-108072678120435.86,136860343844459.48,18093718425583.715,-154501171374963.38,28014247515089.246,-397122893877849.8,33828945448258.273,35963249098483.76,-135743008106273.11,0.0,1.0,0.0
-16381346734126.363,-88180153671200.84,-5814775814660.91,-45274428832852.21,-16029918764275.18,640518323041370.6,18913438934556.438,-265003264814414.75,-16909500752351.27,-246909110608595.6,35585831802284.64,18198836468380.66,-119402505575005.34,0.0,1.0,0.0
-6295903149697.745,-207841981021284.72,-11191555528996.607,-14989391883405.793,573043741115153.2,181040868335416.44,19733159443529.19,-57811839615443.41,118563677616649.03,-335671800722245.8,35585831802284.64,956906562692.3447,56480721670640.44,0.0,1.0,0.0
-14126953462312.896,-55082201425432.94,25101707542769.516,60723200490210.26,315324014917903.3,-614208572501811.8,-85191065704981.27,-306441549854209.0,-2168895852097.35,-349327599201268.94,-1308781632269.0208,-18374954240655.16,-36214492688551.26,0.0,1.0,0.0
-8431644144047.349,-235847940613857.56,-25977699743419.855,-105844502731745.05,-135685505927284.08,225221392826373.44,38586731149902.164,-99250124655237.72,12571709048156.568,-294704405285176.5,47884036280469.21,6704216531255.132,-94743201755092.17,0.0,1.0,0.0
-7482425924336.421,-322411815718173.5,-17912530171916.266,-30131910358129.004,-108072678120435.86,1082323567950941.9,141051794771494.4,-168313933054894.8,25206513248374.21,-76211629620806.7,14503195553968.28,8271664704499.514,-25815991077744.5,0.0,1.0,0.0
-8431644144047.349,212247412867307.6,-10519458064704.656,-45274428832852.21,-108072678120435.86,490304539772116.44,78753036089566.34,121754062223665.11,85572799982747.42,-376639196159315.2,81264877006970.14,11406561050988.3,-101279402767599.28,0.0,1.0,0.0
-10923341970788.521,-65266186731823.06,-44796428743594.88,-60416947307575.42,-25234194699891.25,-57533963915752.06,11535954353801.807,-140688409695031.94,-13399832918957.49,-240081211369084.06,54911581696574.68,18198836468380.66,-10960988776591.984,0.0,1.0,0.0
-4753423542667.5,-253669914900040.22,-31354479457755.582,-30131910358129.004,-108072678120435.86,-746750145974683.2,-54861406872989.95,-99250124655237.72,-16909500752351.27,-356155498440780.44,14503195553968.28,8271664704499.514,-54931795588003.43,0.0,1.0,0.0
-7838382756728.011,28935677352285.543,6282978542594.475,45580682015487.05,-16029918764275.18,234057497724565.06,6617631299965.374,-30186316255580.53,-19717235019066.305,-308360203764199.6,-27662076942664.484,40143110893802.14,-91772201294861.67,0.0,1.0,0.0
-14008301184849.033,-156922054489334.16,-32698674386339.51,153126591317.41702,-126481229991668.0,181040868335416.44,-31909232621753.31,11251968784213.697,-11995965785599.973,-409413112508970.6,-3065667986295.3877,-8970265201188.8,-98605502353391.83,0.0,1.0,0.0
-5821294039842.291,-154376058162736.6,-25977699743419.855,30438163540763.836,-135685505927284.08,-84042278610326.17,-8957058370516.643,-57811839615443.41,-7784364385527.421,-289242085893567.25,14503195553968.28,50070282657683.29,-22250790525467.895,0.0,1.0,0.0
-6889164537017.083,54395640618260.74,-6486873278952.86,75865718964933.47,-89664126249203.73,-543519733316280.5,-15514822442298.535,411822057502225.0,-11995965785599.973,-322016002243222.7,-17120758818506.303,35963249098483.76,-128315506955696.86,0.0,1.0,0.0
-8906253253902.803,-154376058162736.6,-16568335243332.334,-14989391883405.793,-181706885605364.4,-570028048010854.9,59867228183.46433,11251968784213.697,2744639114653.946,-226425412890060.94,7475650137862.8125,29170973681091.402,-70380997981202.05,0.0,1.0,0.0
-3329596213101.097,-149284065509541.53,-5814775814660.91,91008237439656.67,-144889781862900.12,-808602880262023.4,-22072586514080.445,163192347263459.34,2744639114653.946,-240081211369084.06,-13606986110453.568,-10015230650018.396,-76917198993709.16,0.0,1.0,0.0
-9262210086294.393,-266399896533027.88,-28666089600587.72,-14989391883405.793,-71255574377971.6,57335399760736.38,879587737156.2212,38877492144076.57,34331649615198.074,-322016002243222.7,-17120758818506.303,21333732814869.445,-129206807093766.0,0.0,1.0,0.0
-16499999011590.227,-251123918573442.7,22413317685601.652,15295645066040.627,-52847022506739.45,393107385892010.9,73014992526757.16,-99250124655237.72,63110925849027.17,-328843901482734.25,448104721757.34595,33873318200824.57,-19873990157283.492,0.0,1.0,0.0
-18279783173548.2,357369203483366.8,-36731259172091.29,153126591317.41702,66808564656269.44,781896001412433.5,45144495221684.08,-168313933054894.8,139621684617011.8,-294704405285176.5,-36446508712796.32,10361595602158.705,-54931795588003.43,0.0,1.0,0.0
-5702641762378.428,23843684699090.48,-13207847921872.52,45580682015487.05,-108072678120435.86,225221392826373.44,19733159443529.19,-140688409695031.94,-26034637119175.133,-417606591596384.5,-10093213402400.836,8794147428914.3,-125344506495466.34,0.0,1.0,0.0
-14720214849632.234,87493592864028.72,37199461900024.875,15295645066040.627,29991460913805.164,-481666999028940.5,59867228183.46433,328945487422636.44,-37967507752714.016,-171802218973968.5,47884036280469.21,-5835368854700.015,-41562293516966.164,0.0,1.0,0.0
